,數量
新光金,2
國際,1
GL,1
Glass Lewis,1
美國,2
加州教師退休系統,1
CalSTRS,1
瑞典,1
AP2,1
ISS,1
Institutional Shareholder Services,1
新光集團,1
林家,1
林伯翰,1
台新金,1
新光,1
ChatGPT,1
Gemini 1.5 Pro,1
GPT-4.5 Turbo,1
ChatGPT-4o mini,1
Llama3,1
GPU,1
Computex,1
中國,1
韓國,1
台灣,2
奈米投,3
台北富邦銀行,2
遠傳,1
亞太電信,1
最高法院,1
陳國樑,1
華南投顧,1
儲祥生,1
鴻海,1
張佳琪,1
EV,1
廖婕妤,1
台北,1
台東,1
高屏,1
南投,1
中央氣象署,1
ETtoday,1
ETtoday新聞雲,1
勞動部,1
新竹,1
金管會,2
台股,9
AI科技股,1
金控,1
S&P指數,1
美股,1
蘋果,1
微軟,1
奇異,1
IBM,1
美國信用合作社,1
RBCU,1
Marcus Arcabascio,1
ETF,1
北富銀,2
台灣ETF,1
,數量
新光金,1
玻璃路易斯,1
GL,1
Glass Lewis,1
CalSTRS,1
ISS,1
林家,1
林伯翰,1
新光集團,1
美國加州教師退休系統,1
瑞典AP2,1
新壽,1
魏寶生,1
台新金,1
ChatGPT,1
Gemini 1.5 Pro,1
GPT-4.5 Turbo,1
ChatGPT-4o mini,1
Llama3,1
GPU,1
Computex,1
x86,1
Arm,1
奈米投,2
台北富邦銀行,1
LINE,2
遠傳,1
亞太電信,1
最高法院,1
遠亞併,1
羅明才,1
韓國,1
香港,1
華南投顧,1
儲祥生,1
鴻海,1
永續公民獎,1
ESG,1
井琪,1
中颱,1
山陀兒,1
ETtoday新聞雲,1
花東,1
高屏,1
南投,1
中央氣象署,1
勞動部,1
台股,1
AI,1
壽險業,1
金管會,1
美國,1
美國總統大選,1
台灣,1
券商,1
銀行,1
證券業,1
臺北富邦銀行,1
股份有限,1
4%法則,1
美國S&P指數,1
尼克·馬朱利,1
蘋果,1
微軟,1
奇異,1
IBM,1
Y世代,1
Z世代,1
千禧世代,1
X世代,1
α世代,1
RBCU,1
Marcus Arcabascio,1
ETF,1
中華民國,1
4％,1
經濟日報,1
金融圈,1
金融三業,1
美元,1
國內外股票,1
國外持股,1
金融業,1
資產負債表,1
Y世代作為社會的中堅力量,1
拿鐵因子,1
經濟不景氣,1
疫情爆發,1
裁員猖獗,1
網路世代,1
FIRE族,1
數位投資者,1
數位原住民,1
台北銀行,1
北富銀,1
自動化儲蓄,1
台灣聯融企業,1
,數量
新光金控,1
Glass Lewis,1
CalSTRS,1
瑞典AP2,1
ISS,1
新光金創始股東,1
台新金控,1
ChatGPT,1
Gemini 1.5 Pro,1
GPT-4.5 Turbo,1
ChatGPT-4o mini,1
Llama3,1
Computex,1
台北富邦銀行,2
遠傳,1
亞太電信,1
鴻海,1
3+3,1
ETtoday新聞雲,1
金管會,1
台股,1
美國,1
壽險業,1
LINE,1
理財盲,1
婴儿潮世代,1
X世代,1
Y世代,1
Z世代,1
α世代,1
奈米投,1
金融三業,1
台灣AI科技股,1
美國S\u0026P指數,1
蘋果,1
微軟,1
奇異,1
IBM,1
ETF,1
美國信用合作社,1
RBCU,1
Marcus Arcabascio,1
,數量
Glass Lewis,1
CalSTRS,1
AP2,1
ISS,1
台新金,1
Nvidia,2
聯發科,2
程控室,1
ChatGPT,1
Gemini 1.5 Pro,1
GPT-4.5 Turbo,1
ChatGPT-4o mini,1
Llama3,1
歷史新頁,1
ARM,1
ARM架構,1
x86架構,1
微軟,1
Intel,1
AMD,1
Computex,1
LINE,1
臺北富邦銀行,2
Samsung,1
中天,1
大立光,1
台積電,1
紫光,1
紅旗,1
小米,1
華為,1
ViVO,1
殼牌,1
道達爾,1
IC設計,1
彰化銀行,1
晶圓代工廠,1
伺服器代工廠,1
遠傳,1
亞太電信,1
新光金,1
新壽,1
奈米投,1
LINE官方帳號,1
全體員工,1
中央氣象署,1
ETtoday新聞雲,1
工商時報,1
鴻海,1
兆示寧,1
NOS,1
永大工業,1
鴻友,1
Apple,1
HTC,1
華碩,1
百腦匯,1
妖妖零,1
MTK,1
MMX,1
CEVA,1
RDA,1
展訊,1
HISO,1
ZTE中興,1
H3C,1
瑞芯微,1
英伟达,1
輝達,1
,名詞,數量
0,Nvidia,1
1,英伟达,2
2,輝達,2
3,台北富邦銀行,1
4,奈米投,1
5,經濟日報,1
6,蘋果,1
7,微軟,1
8,奇異,1
9,IBM,1
,名詞,數量
0,台新金,1
1,遠傳,1
2,亞太電信,1
3,GL（Glass Lewis）,1
4,ISS（Institutional Shareholder Services）,1
5,CalSTRS,1
6,瑞典AP2,1
7,Computex,1
8,AI,1
9,ChatGPT,1
10,Gemini 1.5 Pro,1
11,GPT-4.5 Turbo,1
12,ChatGPT-4o mini,1
13,Llama3,1
14,Taiwan Semiconductor Manufacturing Company,1
15,華南投顧,1
16,Nvidia,1
17,英伟达,1
18,輝達,1
